Edizione_Olimpiadi,ID_Edizione,Anno,Nazione,Codice_NOC,Medaglie_Oro,Medaglie_Argento,Medaglie_Bronzo,Totale_Medaglie,Paese_Ospitante,Citta_Ospitante,Precipitazioni_Medie_mm,Superficie_Totale_km2,Investimenti_Diretti_Esteri_perc_PIL,Densita_Popolazione,Inflazione_Prezzi_Consumo,Spesa_Militare_Valuta_Locale,Spesa_Militare_perc_PIL,Spesa_Pubblica_Consumi_USD,Spesa_Nazionale_Lorda_Valuta_Locale,Interscambio_Commerciale_perc_PIL,Valore_Aggiunto_Industria_perc_PIL,Valore_Aggiunto_Servizi_Valuta_Locale,Valore_Aggiunto_Servizi_perc_PIL,Inflazione_Deflatore_PIL,PIL_Assoluto_USD,PIL_Valuta_Locale,Crescita_PIL_perc_annua,PIL_Pro_Capite_USD,RNL_Valuta_Locale,RNL_Pro_Capite_USD,Iscrizioni_Scuola_Primaria_perc,Tasso_Mortalita_Neonatale,Tasso_Mortalita_Infantile,Aspettativa_di_Vita,Popolazione_Eta_Lavorativa_perc,Crescita_Demografica_perc,Popolazione_Totale,Popolazione_Urbana,Tasso_Urbanizzazione_perc
1964 Summer Olympics,16.0,1964.0,Switzerland,SUI,1.0,2.0,1.0,4.0,JPN,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16.0,1964.0,Ethiopia,ETH,1.0,0.0,0.0,1.0,JPN,Tokyo,,1221900.0,,,,50537500.0,2.0721449027803764,,,,,,,-0.2116666711146635,1715999085.7204947,4263348248.5,4.42236263086383,77.25815626508705,4249573208.5,80.0,,,,40.32775,55.0370829639025,2.5145190026335134,22199889.5,1624319.75,7.312493836936698
1964 Summer Olympics,16.0,1964.0,India,IND,1.0,0.0,0.0,1.0,JPN,Tokyo,1083.0,3287260.0,,153.81754882802667,2.5133667784600773,5108375000.0,2.712269631387538,3158559272.0342727,220304531158.5,10.486530932384849,21.550315849571348,77001396815.25,38.78484055557583,4.96822275449998,41711431244.35628,198625664442.5,4.216074510159917,92.10541236305366,197650664442.5,95.0,,,147.6,46.00625,55.61053965309885,2.37147566542968,451994183.0,81800358.0,18.094110854132875
1964 Summer Olympics,16.0,1964.0,The Bahamas,BAH,1.0,0.0,0.0,1.0,JPN,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16.0,1964.0,Republic of Korea,KOR,0.0,2.0,1.0,3.0,JPN,Tokyo,1274.0,99260.0,,274.86505632732064,10.867794232734587,21325000000.0,6.3936883528911626,421708582.7527487,396825000000.0,17.6008927481599,17.72984667767445,132475000000.0,37.32298707114673,19.918801170328766,3308732363.053815,360550000000.0,6.617317871486937,126.67014129790222,364275000000.0,120.0,,28.275,70.65,54.5887073170732,54.79692771361448,2.8704616124253364,26138206.0,7549968.5,28.856478864376648
1964 Summer Olympics,16.0,1964.0,Trinidad and Tobago,TTO,0.0,1.0,2.0,3.0,JPN,Tokyo,2200.0,5130.0,,171.54918778427532,2.586828461569345,,,,,,,,,0.8361393786701333,604550003.208325,1036374025.0,7.461377085790424,692.8987857805585,957125000.0,690.0,,37.0,60.0,63.133,53.67729993200695,1.9856054196888104,871271.25,167149.0,19.1520435126627
1964 Summer Olympics,16.0,1964.0,Tunisia,TUN,0.0,1.0,1.0,2.0,JPN,Tokyo,207.0,163610.0,,28.133678767593565,,6725000.0,1.8645782567164977,,,,,,,18.5949916243442,924306920.6349208,388208906.6666667,-7.662039609854915,211.3368034110657,385289322.6666667,190.0,,,159.25,45.07,52.64439015585477,1.2257749267423,4344958.25,1653321.0,38.0454508136202
1964 Summer Olympics,16.0,1964.0,Argentina,ARG,0.0,1.0,0.0,1.0,JPN,Tokyo,591.0,2780400.0,,7.700362968890643,,0.0024275,2.0075000000000003,1811224774.08652,0.191870404875,14.26360507082275,,,,24.924564508470567,18151877375.0388,0.1912307329499999,-0.2441251570250896,868.194916529153,0.19617944955,890.0,,,,64.5865,63.48769047051767,1.6518020738953532,20901641.0,15222681.75,72.81490404844374
1964 Summer Olympics,16.0,1964.0,Cuba,CUB,0.0,1.0,0.0,1.0,JPN,Tokyo,1335.0,109890.0,,70.23549037864683,,,,,,,,,,,,,,,,,,,36.8,63.94499999999999,59.33326361306008,2.06932580081954,7466989.0,4331491.75,58.00334027809015
1964 Summer Olympics,16.0,1964.0,Pakistan,PAK,0.0,1.0,0.0,1.0,JPN,Tokyo,494.0,796100.0,,62.49359217171716,2.3819536457088604,998750000.0,3.928709752012685,425293994.1201178,21479000000.0,21.426193546640125,16.240587815565952,7262250000.0,36.302180782123074,0.8857144704121165,4202225955.480892,20011000000.0,6.386345521684177,88.23918753512422,19977250525.5,95.0,,85.4,160.85,45.417,56.01519970528693,2.6205028423612835,47558622.75,10833120.0,22.76855536649655
1964 Summer Olympics,16.0,1964.0,Philippines,PHI,0.0,1.0,0.0,1.0,JPN,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16.0,1964.0,Islamic Republic of Iran,IRI,0.0,0.0,2.0,2.0,JPN,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
